"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"1h1,1m1,10h1,10m1","IV-9","VacuumTubes:IV-9_External_Socket_Asymetric","","4","","",""
"BT1","CR2032","Battery:BatteryHolder_Keystone_CR2032_Vertical","~","1","","",""
"BT2","Battery_Cell","Battery:BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032","~","1","","",""
"C1,C5,C6,C7,C8,C10,C11,C12,C14,C15","100nF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","","10","","",""
"C2,C4","12.5pF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","","2","","",""
"C3","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","1","","",""
"C9","4.7uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","1","","",""
"C13","3,3uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","1","","",""
"C16","C_Trim","","~","1","","",""
"D1","1N4728","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/85816/1n4728a.pdf","1","","",""
"D3,D4,D5","1N5822","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","3","","",""
"D6","LED","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","","1","","",""
"DCF-3850N-1/POLLIN1,EM2S1,MASD-S-R1","DCF77","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","https://techfun.sk/wp-content/uploads/2020/08/3942_1.pdf","3","","",""
"F1","F1.25A","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","~","1","","",""
"J1","USB_C_Receptacle_PowerOnly_6P","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","1","","","Vyloučit z desky"
"J2","USB-C","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","","1","","",""
"J3","2x3","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","","1","","",""
"J4","1x2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","1","","",""
"R1,R6,R7","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","","3","","",""
"R2","2K5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","1","","",""
"R3,R4","5K1","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","2","","","Vyloučit z desky"
"R8","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","","1","","",""
"R9,R10,R11,R12","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","4","","",""
"R14","50K","PCM_SL_Devices:potentiometer_3362P","https://www.bourns.com/docs/product-datasheets/3362.pdf","1","","",""
"SW1","Horizontal","Button_Switch_THT:SW_PUSH_6mm","~","1","","",""
"SW2","Horizontal","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","~","1","","",""
"SW3","Vertical","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","~","1","","",""
"TSV1,TSV2","BZW06-5V8","Diode_THT:D_DO-201AE_P15.24mm_Horizontal","https://www.vishay.com/docs/88301/15ke.pdf","2","","",""
"U1","ATmega328-P","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","1","","",""
"U2,U3,U4,U5","TPIC6B595N","Package_DIP:DIP-20_W7.62mm_Socket","","4","","",""
"Y1","6MHz","Crystal:Crystal_HC49-4H_Vertical","","1","","",""
